date,tweet,Subjectivity,Polarity
2023-02-23 23:58:37+00:00,laff last laff best,0.18333333333333332,0.5
2023-02-23 23:58:37+00:00,rather courage take head wait human validity reminds apc presidential primary election woman aspirant event woman concession speech concession disaster women folk,0.3,0.2
2023-02-23 23:58:36+00:00,dis boy dey play ball abeg,0.0,0.0
2023-02-23 23:58:36+00:00,saying give us credible election,0.7,0.4
2023-02-23 23:58:36+00:00,nah future trip china wherever cancelled,0.125,0.0
2023-02-23 23:58:36+00:00,joa yansh way dey dey play play know say yansh get level,0.0,0.0
2023-02-23 23:58:36+00:00,lost game first leg hope xavi learn frm nw keep best last rather play best start every european game,0.2571428571428572,0.20714285714285716
2023-02-23 23:58:35+00:00,youre obident,0.0,0.0
2023-02-23 23:58:35+00:00,want kalu start wailing,0.0,0.0
2023-02-23 23:58:35+00:00,man doesnt win ill pained,0.7,0.15000000000000002
2023-02-23 23:58:34+00:00,una get light side,0.7,0.4
2023-02-23 23:58:33+00:00,rtp shey remembered slogan,0.0,0.0
2023-02-23 23:58:33+00:00,hard hustle,0.5416666666666666,-0.2916666666666667
2023-02-23 23:58:33+00:00,people shameless instead think career club wishing past glory mtchewww jagbajantis,0.25,-0.25
2023-02-23 23:58:33+00:00,youre wild nigga bring size comes thickness lady,0.4,0.1
2023-02-23 23:58:32+00:00,mr president say make greet shishi gum done tire bank atm queue hope monday bank go start operatw usual sha,0.25,-0.25
2023-02-23 23:58:31+00:00,old fire side emerged screen,0.2,0.1
2023-02-23 23:58:31+00:00,wow touching tnk much putting smiles faces bring light lives may god continue bless u,0.6,0.30000000000000004
2023-02-23 23:58:30+00:00,inject,0.0,0.0
2023-02-23 23:58:30+00:00,hmmm pray hope wins honest best option nigeria right need,0.4839285714285715,0.5464285714285714
2023-02-23 23:58:30+00:00,swear,0.0,0.0
2023-02-23 23:58:30+00:00,moon bag definitely frgst see great potential,0.75,0.26666666666666666
2023-02-23 23:58:30+00:00,vote peter obi nothing else really concern,0.2,0.2
2023-02-23 23:58:30+00:00,play big brother,0.1,0.0
2023-02-23 23:58:29+00:00,please fund could stake hopeful please,0.0,0.0
2023-02-23 23:58:29+00:00,one get like open slips,0.5,0.0
2023-02-23 23:58:29+00:00,omoo im hungry wtf,1.0,-0.5
2023-02-23 23:58:29+00:00,last song ehn,0.06666666666666667,0.0
2023-02-23 23:58:29+00:00,sure say u read,0.8888888888888888,0.5
2023-02-23 23:58:28+00:00,yes na,0.0,0.0
2023-02-23 23:58:28+00:00,obi life,0.0,0.0
2023-02-23 23:58:28+00:00,feel,0.0,0.0
2023-02-23 23:58:27+00:00,comrade,0.0,0.0
2023-02-23 23:58:27+00:00,wake someone crediting account kuda bank ebuka ndubuisi emmanuel please,0.0,0.0
2023-02-23 23:58:27+00:00,didnt capture rice,0.0,0.0
2023-02-23 23:58:27+00:00,one,0.0,0.0
2023-02-23 23:58:26+00:00,god willing victory sure certain bro,0.7367724867724869,0.32142857142857145
2023-02-23 23:58:26+00:00,im available,0.4,0.4
2023-02-23 23:58:25+00:00,everywhere bro rest,0.0,0.0
2023-02-23 23:58:25+00:00,move bruh rest stop simping,0.0,0.0
2023-02-23 23:58:25+00:00,nice makeup face,1.0,0.6
2023-02-23 23:58:25+00:00,th time go ask pos transfer,0.0,0.0
2023-02-23 23:58:24+00:00,third video jan step,0.0,0.0
2023-02-23 23:58:24+00:00,whenever listen kill bill cant help sing lois voice,0.0,0.0
2023-02-23 23:58:24+00:00,oh reach,0.0,0.0
2023-02-23 23:58:24+00:00,beer palour anap poll congratulations winning twitter poll,0.75,0.5
2023-02-23 23:58:24+00:00,read room sir obviously lack support,0.5,0.0
2023-02-23 23:58:23+00:00,youre displaying high level ignorance compare ceremonial head leader required run day day complex nation like nigeria theres way theyre thing bat mentally physically depreciating,0.3582142857142857,-0.022499999999999992
2023-02-23 23:58:23+00:00,normally english clubs suppose dey cut cap us disrespect much wetin temporary situation,0.1,0.1
2023-02-23 23:58:23+00:00,react router killing swear god,0.0,0.0
2023-02-23 23:58:22+00:00,thought one expected married contesting positions,0.325,0.075
2023-02-23 23:58:22+00:00,jehovah lord get thee behind,0.7,-0.4
2023-02-23 23:58:22+00:00,competence vote brighter future vote unity nigeria vote,0.125,0.0
2023-02-23 23:58:21+00:00,naked guy hall one nice,0.7,0.3
2023-02-23 23:58:21+00:00,boyfriend went near police station caseand arrested,0.4,0.1
2023-02-23 23:58:21+00:00,baldie say mosquito,0.0,0.0
2023-02-23 23:58:21+00:00,enough sit complain things working nigerians general elections starting presidential election less hours commencement go vote vote sentiments religion ethnicity vote,0.2916666666666667,-0.02916666666666666
2023-02-23 23:58:21+00:00,could also affect place ucl next season top seed pot b,0.25,0.25
2023-02-23 23:58:20+00:00,hmmm hmmm,0.0,0.0
2023-02-23 23:58:20+00:00,omar apollo musician honestly thought tik tok guy,0.9,0.6
2023-02-23 23:58:20+00:00,ur loved current rock old trafford,0.46666666666666673,0.26666666666666666
2023-02-23 23:58:20+00:00,revolution,0.0,0.0
2023-02-23 23:58:20+00:00,,0.0,0.0
